method,search_seed,config_path,status,start_time,end_time,output_directory,real_training_runs,first_evaluations,repeat_evaluations,exit_code,audit_status,notes
RE,1001,configs/formal/re/re_1001.yaml,audited,2026-08-31T11:02:31Z,2026-08-31T13:17:46Z,experiments/formal/re_1001,60,60,0,0,passed,
SA-RE,1001,configs/formal/sa_re/sa_re_1001.yaml,audited,2026-08-31T14:31:24Z,2026-08-31T16:46:51Z,experiments/formal/sa_re_1001,60,60,0,0,passed,
RS-SA-RE,1001,configs/formal/rs_sa_re/rs_sa_re_1001.yaml,audited,2026-08-31T23:29:20Z,2026-09-01T01:54:30Z,experiments/formal/rs_sa_re_1001,60,49,11,0,passed,post-run audit recovered after repeat-row best.json fix; no retraining
RE,1002,configs/formal/re/re_1002.yaml,audited,2026-09-01T03:23:00Z,2026-09-01T05:27:23Z,experiments/formal/re_1002,60,60,0,0,passed,
SA-RE,1002,configs/formal/sa_re/sa_re_1002.yaml,audited,2026-09-01T05:27:23Z,2026-09-01T07:46:39Z,experiments/formal/sa_re_1002,60,60,0,0,passed,
RS-SA-RE,1002,configs/formal/rs_sa_re/rs_sa_re_1002.yaml,audited,2026-09-01T07:46:40Z,2026-09-01T10:10:47Z,experiments/formal/rs_sa_re_1002,60,49,11,0,passed,post-run audit recovered after run_formal import-path fix; no retraining
RE,1003,configs/formal/re/re_1003.yaml,audited,2026-09-01T10:49:43Z,2026-09-01T12:51:15Z,experiments/formal/re_1003,60,60,0,0,passed,
SA-RE,1003,configs/formal/sa_re/sa_re_1003.yaml,audited,2026-09-01T12:51:15Z,2026-09-01T14:46:35Z,experiments/formal/sa_re_1003,60,60,0,0,passed,
RS-SA-RE,1003,configs/formal/rs_sa_re/rs_sa_re_1003.yaml,audited,2026-09-01T14:46:35Z,2026-09-01T16:44:45Z,experiments/formal/rs_sa_re_1003,60,49,11,0,passed,
RE,1004,configs/formal/re/re_1004.yaml,audited,2026-09-01T16:44:45Z,2026-09-01T18:53:05Z,experiments/formal/re_1004,60,60,0,0,passed,
SA-RE,1004,configs/formal/sa_re/sa_re_1004.yaml,audited,2026-09-01T18:53:05Z,2026-09-01T21:04:06Z,experiments/formal/sa_re_1004,60,60,0,0,passed,
RS-SA-RE,1004,configs/formal/rs_sa_re/rs_sa_re_1004.yaml,audited,2026-09-01T21:04:06Z,2026-09-01T23:15:59Z,experiments/formal/rs_sa_re_1004,60,49,11,0,passed,
RE,1005,configs/formal/re/re_1005.yaml,audited,2026-09-01T23:16:00Z,2026-09-02T01:11:50Z,experiments/formal/re_1005,60,60,0,0,passed,
SA-RE,1005,configs/formal/sa_re/sa_re_1005.yaml,audited,2026-09-02T01:11:51Z,2026-09-02T03:01:08Z,experiments/formal/sa_re_1005,60,60,0,0,passed,
RS-SA-RE,1005,configs/formal/rs_sa_re/rs_sa_re_1005.yaml,audited,2026-09-02T03:01:08Z,2026-09-02T04:56:22Z,experiments/formal/rs_sa_re_1005,60,49,11,0,passed,
RE,1006,configs/formal/re/re_1006.yaml,audited,2026-09-02T04:56:22Z,2026-09-02T07:23:39Z,experiments/formal/re_1006,60,60,0,0,passed,
SA-RE,1006,configs/formal/sa_re/sa_re_1006.yaml,audited,2026-09-02T07:23:40Z,2026-09-02T09:58:17Z,experiments/formal/sa_re_1006,60,60,0,0,passed,
RS-SA-RE,1006,configs/formal/rs_sa_re/rs_sa_re_1006.yaml,audited,2026-09-02T09:58:17Z,2026-09-02T12:28:10Z,experiments/formal/rs_sa_re_1006,60,49,11,0,passed,
RE,1007,configs/formal/re/re_1007.yaml,audited,2026-09-02T12:28:11Z,2026-09-02T14:43:54Z,experiments/formal/re_1007,60,60,0,0,passed,
SA-RE,1007,configs/formal/sa_re/sa_re_1007.yaml,audited,2026-09-02T14:43:54Z,2026-09-02T16:48:40Z,experiments/formal/sa_re_1007,60,60,0,0,passed,
RS-SA-RE,1007,configs/formal/rs_sa_re/rs_sa_re_1007.yaml,audited,2026-09-02T16:48:40Z,2026-09-02T18:57:08Z,experiments/formal/rs_sa_re_1007,60,49,11,0,passed,
RE,1008,configs/formal/re/re_1008.yaml,audited,2026-09-02T18:57:08Z,2026-09-02T20:59:40Z,experiments/formal/re_1008,60,60,0,0,passed,
SA-RE,1008,configs/formal/sa_re/sa_re_1008.yaml,audited,2026-09-02T20:59:40Z,2026-09-02T23:08:59Z,experiments/formal/sa_re_1008,60,60,0,0,passed,
RS-SA-RE,1008,configs/formal/rs_sa_re/rs_sa_re_1008.yaml,audited,2026-09-02T23:08:59Z,2026-09-03T01:12:21Z,experiments/formal/rs_sa_re_1008,60,49,11,0,passed,
RE,1009,configs/formal/re/re_1009.yaml,audited,2026-09-03T01:12:22Z,2026-09-03T03:03:16Z,experiments/formal/re_1009,60,60,0,0,passed,
SA-RE,1009,configs/formal/sa_re/sa_re_1009.yaml,audited,2026-09-03T03:03:16Z,2026-09-03T05:02:21Z,experiments/formal/sa_re_1009,60,60,0,0,passed,
RS-SA-RE,1009,configs/formal/rs_sa_re/rs_sa_re_1009.yaml,audited,2026-09-03T05:02:21Z,2026-09-03T07:06:48Z,experiments/formal/rs_sa_re_1009,60,49,11,0,passed,
RE,1010,configs/formal/re/re_1010.yaml,audited,2026-09-03T07:06:49Z,2026-09-03T09:33:00Z,experiments/formal/re_1010,60,60,0,0,passed,
SA-RE,1010,configs/formal/sa_re/sa_re_1010.yaml,audited,2026-09-03T09:33:00Z,2026-09-03T11:51:06Z,experiments/formal/sa_re_1010,60,60,0,0,passed,
RS-SA-RE,1010,configs/formal/rs_sa_re/rs_sa_re_1010.yaml,audited,2026-09-03T11:51:06Z,2026-09-03T14:09:13Z,experiments/formal/rs_sa_re_1010,60,49,11,0,passed,
