method,search_seed,training_seed,evaluation_index,budget,phase,architecture,parent_architecture,mutation_type,fitness,final_val_accuracy,best_val_accuracy,parameter_count,training_time,population_age_order
RE,1009,20260827,1,60,initialization,"{""normal"":{""pairs"":[{""branch_1"":{""input_state"":0,""op"":""identity""},""branch_2"":{""input_state"":1,""op"":""sep_conv_3x3""}},{""branch_1"":{""input_state"":2,""op"":""conv_1x7_7x1""},""branch_2"":{""input_state"":0,""op"":""sep_conv_7x7""}},{""branch_1"":{""input_state"":1,""op"":""avg_pool_3x3""},""branch_2"":{""input_state"":0,""op"":""identity""}},{""branch_1"":{""input_state"":1,""op"":""sep_conv_7x7""},""branch_2"":{""input_state"":4,""op"":""sep_conv_3x3""}},{""branch_1"":{""input_state"":5,""op"":""conv_1x7_7x1""},""branch_2"":{""input_state"":1,""op"":""sep_conv_3x3""}}]},""reduction"":{""pairs"":[{""branch_1"":{""input_state"":1,""op"":""conv_1x7_7x1""},""branch_2"":{""input_state"":0,""op"":""sep_conv_5x5""}},{""branch_1"":{""input_state"":2,""op"":""max_pool_3x3""},""branch_2"":{""input_state"":2,""op"":""sep_conv_5x5""}},{""branch_1"":{""input_state"":1,""op"":""conv_1x7_7x1""},""branch_2"":{""input_state"":1,""op"":""dil_sep_conv_3x3""}},{""branch_1"":{""input_state"":0,""op"":""sep_conv_5x5""},""branch_2"":{""input_state"":3,""op"":""conv_1x7_7x1""}},{""branch_1"":{""input_state"":2,""op"":""avg_pool_3x3""},""branch_2"":{""input_state"":2,""op"":""sep_conv_7x7""}}]}}",,random_initialization,0.65,0.65,0.65,983938,168.45972029998666,"{""ages_in_evaluations"":[0],""oldest_to_youngest_evaluation_indices"":[1]}"
RE,1009,20260828,2,60,initialization,"{""normal"":{""pairs"":[{""branch_1"":{""input_state"":1,""op"":""max_pool_3x3""},""branch_2"":{""input_state"":1,""op"":""max_pool_3x3""}},{""branch_1"":{""input_state"":0,""op"":""conv_1x7_7x1""},""branch_2"":{""input_state"":2,""op"":""avg_pool_3x3""}},{""branch_1"":{""input_state"":2,""op"":""sep_conv_7x7""},""branch_2"":{""input_state"":1,""op"":""sep_conv_5x5""}},{""branch_1"":{""input_state"":4,""op"":""max_pool_3x3""},""branch_2"":{""input_state"":2,""op"":""sep_conv_3x3""}},{""branch_1"":{""input_state"":0,""op"":""sep_conv_7x7""},""branch_2"":{""input_state"":3,""op"":""dil_sep_conv_3x3""}}]},""reduction"":{""pairs"":[{""branch_1"":{""input_state"":1,""op"":""sep_conv_7x7""},""branch_2"":{""input_state"":0,""op"":""avg_pool_3x3""}},{""branch_1"":{""input_state"":0,""op"":""max_pool_3x3""},""branch_2"":{""input_state"":1,""op"":""sep_conv_5x5""}},{""branch_1"":{""input_state"":3,""op"":""identity""},""branch_2"":{""input_state"":3,""op"":""avg_pool_3x3""}},{""branch_1"":{""input_state"":2,""op"":""conv_1x7_7x1""},""branch_2"":{""input_state"":1,""op"":""sep_conv_5x5""}},{""branch_1"":{""input_state"":5,""op"":""sep_conv_5x5""},""branch_2"":{""input_state"":3,""op"":""max_pool_3x3""}}]}}",,random_initialization,0.7624,0.7624,0.7624,866470,147.51314729999285,"{""ages_in_evaluations"":[1,0],""oldest_to_youngest_evaluation_indices"":[1,2]}"
RE,1009,20260829,3,60,initialization,"{""normal"":{""pairs"":[{""branch_1"":{""input_state"":1,""op"":""sep_conv_7x7""},""branch_2"":{""input_state"":0,""op"":""avg_pool_3x3""}},{""branch_1"":{""input_state"":1,""op"":""avg_pool_3x3""},""branch_2"":{""input_state"":0,""op"":""sep_conv_5x5""}},{""branch_1"":{""input_state"":0,""op"":""conv_1x7_7x1""},""branch_2"":{""input_state"":0,""op"":""identity""}},{""branch_1"":{""input_state"":3,""op"":""sep_conv_3x3""},""branch_2"":{""input_state"":3,""op"":""identity""}},{""branch_1"":{""input_state"":4,""op"":""conv_1x7_7x1""},""branch_2"":{""input_state"":3,""op"":""avg_pool_3x3""}}]},""reduction"":{""pairs"":[{""branch_1"":{""input_state"":0,""op"":""max_pool_3x3""},""branch_2"":{""input_state"":0,""op"":""conv_1x7_7x1""}},{""branch_1"":{""input_state"":0,""op"":""identity""},""branch_2"":{""input_state"":1,""op"":""dil_sep_conv_3x3""}},{""branch_1"":{""input_state"":3,""op"":""identity""},""branch_2"":{""input_state"":1,""op"":""sep_conv_7x7""}},{""branch_1"":{""input_state"":4,""op"":""identity""},""branch_2"":{""input_state"":4,""op"":""sep_conv_5x5""}},{""branch_1"":{""input_state"":0,""op"":""sep_conv_3x3""},""branch_2"":{""input_state"":1,""op"":""sep_conv_7x7""}}]}}",,random_initialization,0.7866,0.7866,0.7866,840178,144.1724468000175,"{""ages_in_evaluations"":[2,1,0],""oldest_to_youngest_evaluation_indices"":[1,2,3]}"
RE,1009,20260830,4,60,initialization,"{""normal"":{""pairs"":[{""branch_1"":{""input_state"":0,""op"":""sep_conv_3x3""},""branch_2"":{""input_state"":1,""op"":""dil_sep_conv_3x3""}},{""branch_1"":{""input_state"":0,""op"":""sep_conv_3x3""},""branch_2"":{""input_state"":2,""op"":""sep_conv_3x3""}},{""branch_1"":{""input_state"":1,""op"":""conv_1x7_7x1""},""branch_2"":{""input_state"":1,""op"":""identity""}},{""branch_1"":{""input_state"":4,""op"":""max_pool_3x3""},""branch_2"":{""input_state"":2,""op"":""sep_conv_3x3""}},{""branch_1"":{""input_state"":5,""op"":""identity""},""branch_2"":{""input_state"":0,""op"":""identity""}}]},""reduction"":{""pairs"":[{""branch_1"":{""input_state"":1,""op"":""sep_conv_7x7""},""branch_2"":{""input_state"":1,""op"":""identity""}},{""branch_1"":{""input_state"":0,""op"":""sep_conv_3x3""},""branch_2"":{""input_state"":0,""op"":""avg_pool_3x3""}},{""branch_1"":{""input_state"":3,""op"":""sep_conv_3x3""},""branch_2"":{""input_state"":0,""op"":""sep_conv_7x7""}},{""branch_1"":{""input_state"":3,""op"":""conv_1x7_7x1""},""branch_2"":{""input_state"":2,""op"":""avg_pool_3x3""}},{""branch_1"":{""input_state"":2,""op"":""avg_pool_3x3""},""branch_2"":{""input_state"":1,""op"":""identity""}}]}}",,random_initialization,0.782,0.782,0.782,814054,133.73729340001591,"{""ages_in_evaluations"":[3,2,1,0],""oldest_to_youngest_evaluation_indices"":[1,2,3,4]}"
RE,1009,20260831,5,60,initialization,"{""normal"":{""pairs"":[{""branch_1"":{""input_state"":1,""op"":""identity""},""branch_2"":{""input_state"":1,""op"":""avg_pool_3x3""}},{""branch_1"":{""input_state"":0,""op"":""identity""},""branch_2"":{""input_state"":1,""op"":""dil_sep_conv_3x3""}},{""branch_1"":{""input_state"":1,""op"":""max_pool_3x3""},""branch_2"":{""input_state"":0,""op"":""sep_conv_7x7""}},{""branch_1"":{""input_state"":4,""op"":""max_pool_3x3""},""branch_2"":{""input_state"":4,""op"":""avg_pool_3x3""}},{""branch_1"":{""input_state"":4,""op"":""identity""},""branch_2"":{""input_state"":2,""op"":""dil_sep_conv_3x3""}}]},""reduction"":{""pairs"":[{""branch_1"":{""input_state"":1,""op"":""sep_conv_5x5""},""branch_2"":{""input_state"":1,""op"":""sep_conv_3x3""}},{""branch_1"":{""input_state"":1,""op"":""dil_sep_conv_3x3""},""branch_2"":{""input_state"":0,""op"":""sep_conv_3x3""}},{""branch_1"":{""input_state"":1,""op"":""avg_pool_3x3""},""branch_2"":{""input_state"":2,""op"":""conv_1x7_7x1""}},{""branch_1"":{""input_state"":2,""op"":""identity""},""branch_2"":{""input_state"":3,""op"":""conv_1x7_7x1""}},{""branch_1"":{""input_state"":1,""op"":""identity""},""branch_2"":{""input_state"":1,""op"":""avg_pool_3x3""}}]}}",,random_initialization,0.8028,0.8028,0.8028,687826,109.36652780001168,"{""ages_in_evaluations"":[4,3,2,1,0],""oldest_to_youngest_evaluation_indices"":[1,2,3,4,5]}"
RE,1009,20260832,6,60,initialization,"{""normal"":{""pairs"":[{""branch_1"":{""input_state"":1,""op"":""conv_1x7_7x1""},""branch_2"":{""input_state"":1,""op"":""sep_conv_5x5""}},{""branch_1"":{""input_state"":1,""op"":""dil_sep_conv_3x3""},""branch_2"":{""input_state"":2,""op"":""sep_conv_7x7""}},{""branch_1"":{""input_state"":3,""op"":""max_pool_3x3""},""branch_2"":{""input_state"":3,""op"":""identity""}},{""branch_1"":{""input_state"":2,""op"":""avg_pool_3x3""},""branch_2"":{""input_state"":4,""op"":""conv_1x7_7x1""}},{""branch_1"":{""input_state"":0,""op"":""max_pool_3x3""},""branch_2"":{""input_state"":1,""op"":""sep_conv_7x7""}}]},""reduction"":{""pairs"":[{""branch_1"":{""input_state"":1,""op"":""dil_sep_conv_3x3""},""branch_2"":{""input_state"":0,""op"":""avg_pool_3x3""}},{""branch_1"":{""input_state"":2,""op"":""max_pool_3x3""},""branch_2"":{""input_state"":2,""op"":""sep_conv_3x3""}},{""branch_1"":{""input_state"":2,""op"":""identity""},""branch_2"":{""input_state"":2,""op"":""identity""}},{""branch_1"":{""input_state"":1,""op"":""conv_1x7_7x1""},""branch_2"":{""input_state"":4,""op"":""max_pool_3x3""}},{""branch_1"":{""input_state"":1,""op"":""dil_sep_conv_3x3""},""branch_2"":{""input_state"":2,""op"":""conv_1x7_7x1""}}]}}",,random_initialization,0.764,0.764,0.764,822298,152.20833439999842,"{""ages_in_evaluations"":[5,4,3,2,1,0],""oldest_to_youngest_evaluation_indices"":[1,2,3,4,5,6]}"
RE,1009,20260833,7,60,initialization,"{""normal"":{""pairs"":[{""branch_1"":{""input_state"":1,""op"":""sep_conv_5x5""},""branch_2"":{""input_state"":1,""op"":""sep_conv_3x3""}},{""branch_1"":{""input_state"":1,""op"":""avg_pool_3x3""},""branch_2"":{""input_state"":0,""op"":""conv_1x7_7x1""}},{""branch_1"":{""input_state"":1,""op"":""sep_conv_3x3""},""branch_2"":{""input_state"":0,""op"":""conv_1x7_7x1""}},{""branch_1"":{""input_state"":0,""op"":""sep_conv_7x7""},""branch_2"":{""input_state"":2,""op"":""avg_pool_3x3""}},{""branch_1"":{""input_state"":2,""op"":""sep_conv_3x3""},""branch_2"":{""input_state"":1,""op"":""max_pool_3x3""}}]},""reduction"":{""pairs"":[{""branch_1"":{""input_state"":1,""op"":""identity""},""branch_2"":{""input_state"":1,""op"":""dil_sep_conv_3x3""}},{""branch_1"":{""input_state"":0,""op"":""conv_1x7_7x1""},""branch_2"":{""input_state"":1,""op"":""avg_pool_3x3""}},{""branch_1"":{""input_state"":0,""op"":""max_pool_3x3""},""branch_2"":{""input_state"":0,""op"":""conv_1x7_7x1""}},{""branch_1"":{""input_state"":1,""op"":""conv_1x7_7x1""},""branch_2"":{""input_state"":0,""op"":""sep_conv_5x5""}},{""branch_1"":{""input_state"":1,""op"":""dil_sep_conv_3x3""},""branch_2"":{""input_state"":2,""op"":""sep_conv_5x5""}}]}}",,random_initialization,0.7836,0.7836,0.7836,1073122,167.03923600001144,"{""ages_in_evaluations"":[6,5,4,3,2,1,0],""oldest_to_youngest_evaluation_indices"":[1,2,3,4,5,6,7]}"
RE,1009,20260834,8,60,initialization,"{""normal"":{""pairs"":[{""branch_1"":{""input_state"":1,""op"":""avg_pool_3x3""},""branch_2"":{""input_state"":0,""op"":""sep_conv_5x5""}},{""branch_1"":{""input_state"":1,""op"":""identity""},""branch_2"":{""input_state"":1,""op"":""sep_conv_5x5""}},{""branch_1"":{""input_state"":2,""op"":""sep_conv_3x3""},""branch_2"":{""input_state"":3,""op"":""identity""}},{""branch_1"":{""input_state"":2,""op"":""sep_conv_7x7""},""branch_2"":{""input_state"":0,""op"":""conv_1x7_7x1""}},{""branch_1"":{""input_state"":3,""op"":""avg_pool_3x3""},""branch_2"":{""input_state"":5,""op"":""max_pool_3x3""}}]},""reduction"":{""pairs"":[{""branch_1"":{""input_state"":0,""op"":""sep_conv_5x5""},""branch_2"":{""input_state"":0,""op"":""avg_pool_3x3""}},{""branch_1"":{""input_state"":2,""op"":""dil_sep_conv_3x3""},""branch_2"":{""input_state"":1,""op"":""identity""}},{""branch_1"":{""input_state"":3,""op"":""max_pool_3x3""},""branch_2"":{""input_state"":3,""op"":""sep_conv_5x5""}},{""branch_1"":{""input_state"":4,""op"":""conv_1x7_7x1""},""branch_2"":{""input_state"":4,""op"":""max_pool_3x3""}},{""branch_1"":{""input_state"":0,""op"":""dil_sep_conv_3x3""},""branch_2"":{""input_state"":2,""op"":""max_pool_3x3""}}]}}",,random_initialization,0.7772,0.7772,0.7772,754294,131.47034150001127,"{""ages_in_evaluations"":[7,6,5,4,3,2,1,0],""oldest_to_youngest_evaluation_indices"":[1,2,3,4,5,6,7,8]}"
RE,1009,20260835,9,60,initialization,"{""normal"":{""pairs"":[{""branch_1"":{""input_state"":0,""op"":""identity""},""branch_2"":{""input_state"":1,""op"":""sep_conv_7x7""}},{""branch_1"":{""input_state"":2,""op"":""max_pool_3x3""},""branch_2"":{""input_state"":0,""op"":""conv_1x7_7x1""}},{""branch_1"":{""input_state"":3,""op"":""sep_conv_7x7""},""branch_2"":{""input_state"":0,""op"":""dil_sep_conv_3x3""}},{""branch_1"":{""input_state"":3,""op"":""max_pool_3x3""},""branch_2"":{""input_state"":3,""op"":""conv_1x7_7x1""}},{""branch_1"":{""input_state"":1,""op"":""avg_pool_3x3""},""branch_2"":{""input_state"":1,""op"":""avg_pool_3x3""}}]},""reduction"":{""pairs"":[{""branch_1"":{""input_state"":1,""op"":""max_pool_3x3""},""branch_2"":{""input_state"":1,""op"":""sep_conv_7x7""}},{""branch_1"":{""input_state"":1,""op"":""dil_sep_conv_3x3""},""branch_2"":{""input_state"":2,""op"":""conv_1x7_7x1""}},{""branch_1"":{""input_state"":1,""op"":""sep_conv_5x5""},""branch_2"":{""input_state"":1,""op"":""sep_conv_7x7""}},{""branch_1"":{""input_state"":2,""op"":""identity""},""branch_2"":{""input_state"":2,""op"":""max_pool_3x3""}},{""branch_1"":{""input_state"":2,""op"":""identity""},""branch_2"":{""input_state"":4,""op"":""sep_conv_7x7""}}]}}",,random_initialization,0.7854,0.7854,0.7854,898930,150.89049489999888,"{""ages_in_evaluations"":[8,7,6,5,4,3,2,1,0],""oldest_to_youngest_evaluation_indices"":[1,2,3,4,5,6,7,8,9]}"
RE,1009,20260836,10,60,initialization,"{""normal"":{""pairs"":[{""branch_1"":{""input_state"":0,""op"":""avg_pool_3x3""},""branch_2"":{""input_state"":0,""op"":""conv_1x7_7x1""}},{""branch_1"":{""input_state"":1,""op"":""conv_1x7_7x1""},""branch_2"":{""input_state"":2,""op"":""identity""}},{""branch_1"":{""input_state"":2,""op"":""dil_sep_conv_3x3""},""branch_2"":{""input_state"":0,""op"":""max_pool_3x3""}},{""branch_1"":{""input_state"":0,""op"":""conv_1x7_7x1""},""branch_2"":{""input_state"":1,""op"":""max_pool_3x3""}},{""branch_1"":{""input_state"":5,""op"":""avg_pool_3x3""},""branch_2"":{""input_state"":1,""op"":""dil_sep_conv_3x3""}}]},""reduction"":{""pairs"":[{""branch_1"":{""input_state"":1,""op"":""sep_conv_5x5""},""branch_2"":{""input_state"":1,""op"":""sep_conv_3x3""}},{""branch_1"":{""input_state"":2,""op"":""conv_1x7_7x1""},""branch_2"":{""input_state"":1,""op"":""max_pool_3x3""}},{""branch_1"":{""input_state"":1,""op"":""sep_conv_3x3""},""branch_2"":{""input_state"":3,""op"":""sep_conv_5x5""}},{""branch_1"":{""input_state"":2,""op"":""max_pool_3x3""},""branch_2"":{""input_state"":3,""op"":""sep_conv_5x5""}},{""branch_1"":{""input_state"":1,""op"":""sep_conv_7x7""},""branch_2"":{""input_state"":2,""op"":""dil_sep_conv_3x3""}}]}}",,random_initialization,0.7852,0.7852,0.7852,824878,145.72461730000214,"{""ages_in_evaluations"":[9,8,7,6,5,4,3,2,1,0],""oldest_to_youngest_evaluation_indices"":[1,2,3,4,5,6,7,8,9,10]}"
