method,search_seed,budget,event_type,inserted,accuracy,search_best_so_far
RE,2701,1,first_evaluation,,0.7066,0.7066
RE,2701,2,first_evaluation,,0.7572,0.7572
RE,2701,3,first_evaluation,,0.6988,0.7572
RE,2701,4,first_evaluation,,0.7056,0.7572
RE,2701,5,first_evaluation,,0.8146,0.8146
RE,2701,6,first_evaluation,,0.768,0.8146
RE,2701,7,first_evaluation,,0.8284,0.8284
RE,2701,8,first_evaluation,,0.6672,0.8284
RE,2701,9,first_evaluation,,0.7226,0.8284
RE,2701,10,first_evaluation,,0.809,0.8284
RE,2701,11,first_evaluation,,0.7654,0.8284
RE,2701,12,first_evaluation,,0.7112,0.8284
RE,2701,13,first_evaluation,,0.7554,0.8284
RE,2701,14,first_evaluation,,0.819,0.8284
RE,2701,15,first_evaluation,,0.6932,0.8284
RE,2701,16,first_evaluation,,0.7486,0.8284
RE,2701,17,first_evaluation,,0.822,0.8284
RE,2701,18,first_evaluation,,0.764,0.8284
RE,2701,19,first_evaluation,,0.7586,0.8284
RE,2701,20,first_evaluation,,0.812,0.8284
RE,2701,21,first_evaluation,,0.769,0.8284
RE,2701,22,first_evaluation,,0.83,0.83
RE,2701,23,first_evaluation,,0.8198,0.83
RE,2701,24,first_evaluation,,0.83,0.83
RE,2701,25,first_evaluation,,0.787,0.83
RE,2701,26,first_evaluation,,0.8174,0.83
RE,2701,27,first_evaluation,,0.759,0.83
RE,2701,28,first_evaluation,,0.8114,0.83
RE,2701,29,first_evaluation,,0.8036,0.83
RE,2701,30,first_evaluation,,0.8102,0.83
SA-RE,2701,1,first_evaluation,,0.7114,0.7114
SA-RE,2701,2,first_evaluation,,0.7572,0.7572
SA-RE,2701,3,first_evaluation,,0.6998,0.7572
SA-RE,2701,4,first_evaluation,,0.7056,0.7572
SA-RE,2701,5,first_evaluation,,0.8146,0.8146
SA-RE,2701,6,first_evaluation,,0.768,0.8146
SA-RE,2701,7,first_evaluation,,0.8284,0.8284
SA-RE,2701,8,first_evaluation,,0.711,0.8284
SA-RE,2701,9,first_evaluation,,0.7226,0.8284
SA-RE,2701,10,first_evaluation,,0.809,0.8284
SA-RE,2701,11,first_evaluation,,0.7788,0.8284
SA-RE,2701,12,first_evaluation,,0.7224,0.8284
SA-RE,2701,13,first_evaluation,,0.7442,0.8284
SA-RE,2701,14,first_evaluation,,0.8184,0.8284
SA-RE,2701,15,first_evaluation,,0.6932,0.8284
SA-RE,2701,16,first_evaluation,,0.7486,0.8284
SA-RE,2701,17,first_evaluation,,0.822,0.8284
SA-RE,2701,18,first_evaluation,,0.757,0.8284
SA-RE,2701,19,first_evaluation,,0.7586,0.8284
SA-RE,2701,20,first_evaluation,,0.812,0.8284
SA-RE,2701,21,first_evaluation,,0.7598,0.8284
SA-RE,2701,22,first_evaluation,,0.7836,0.8284
SA-RE,2701,23,first_evaluation,,0.8234,0.8284
SA-RE,2701,24,first_evaluation,,0.814,0.8284
SA-RE,2701,25,first_evaluation,,0.7958,0.8284
SA-RE,2701,26,first_evaluation,,0.8202,0.8284
SA-RE,2701,27,first_evaluation,,0.8192,0.8284
SA-RE,2701,28,first_evaluation,,0.822,0.8284
SA-RE,2701,29,first_evaluation,,0.8202,0.8284
SA-RE,2701,30,first_evaluation,,0.8196,0.8284
RS-SA-RE,2701,1,first_evaluation,True,0.6998,0.6998
RS-SA-RE,2701,2,first_evaluation,True,0.7572,0.7572
RS-SA-RE,2701,3,first_evaluation,True,0.7276,0.7572
RS-SA-RE,2701,4,first_evaluation,True,0.7056,0.7572
