evaluation_index,predicted_mu,observed_accuracy,error,absolute_error
21,0.7818431258201599,0.7598,0.02204312582015988,0.02204312582015988
22,0.7641772031784058,0.7836,-0.0194227968215942,0.0194227968215942
23,0.8381088972091675,0.8234,0.01470889720916746,0.01470889720916746
24,0.8423382043838501,0.814,0.028338204383850152,0.028338204383850152
25,0.8382608890533447,0.7958,0.042460889053344775,0.042460889053344775
26,0.8397152423858643,0.8202,0.019515242385864218,0.019515242385864218
27,0.8258655667304993,0.8192,0.006665566730499228,0.006665566730499228
28,0.8335389494895935,0.822,0.011538949489593553,0.011538949489593553
29,0.8243990540504456,0.8202,0.0041990540504455165,0.0041990540504455165
30,0.8130098581314087,0.8196,-0.006590141868591304,0.006590141868591304
