architecture_id,training_seed,accuracy_epoch_5,accuracy_epoch_25,training_time,parameter_count,status
A01,83001,0.811,0.91,599.9469944000011,926062,completed
A01,83002,0.7998,0.9102,608.6615920000186,926062,completed
A01,83003,0.7988,0.9112,593.7100381999917,926062,completed
A02,83001,0.7424,0.8944,634.9326630000141,818734,completed
A02,83002,0.739,0.8894,621.3705352999968,818734,completed
A02,83003,0.7148,0.8918,616.7974791000015,818734,completed
A03,83001,0.7608,0.8954,605.3079296000069,799042,completed
A03,83002,0.7556,0.8926,610.0813092000026,799042,completed
A03,83003,0.752,0.8878,667.9945133999863,799042,completed
A04,83001,0.7662,0.8938,852.6092955000058,1218454,completed
A04,83002,0.7454,0.8988,851.1550515000126,1218454,completed
A04,83003,0.7264,0.9,847.9894372000126,1218454,completed
A05,83001,0.6896,0.8728,686.8650969000009,903766,completed
A05,83002,0.6388,0.8724,691.1395398000022,903766,completed
A05,83003,0.5918,0.8748,693.991562900017,903766,completed
A06,83001,0.7554,0.9042,491.8107643999974,679954,completed
A06,83002,0.7658,0.904,441.6327533000149,679954,completed
A06,83003,0.7616,0.9036,439.98778689999017,679954,completed
A07,83001,0.6596,0.8742,860.2076861000096,1232470,completed
A07,83002,0.6302,0.8816,882.4078301999834,1232470,completed
A07,83003,0.6568,0.8734,903.5614813000138,1232470,completed
A08,83001,0.6328,0.8762,614.55772110002,727114,completed
A08,83002,0.5984,0.8746,637.1100334000075,727114,completed
A08,83003,0.6582,0.8858,624.5988288999943,727114,completed
A09,83001,0.727,0.8824,534.3598625000159,696694,completed
A09,83002,0.647,0.89,510.31894990001456,696694,completed
A09,83003,0.7188,0.886,514.4918003999919,696694,completed
A10,83001,0.7468,0.891,627.6494805999973,1089226,completed
A10,83002,0.7392,0.8908,634.900054400001,1089226,completed
A10,83003,0.7118,0.8888,627.8306369000056,1089226,completed
A11,83001,0.681,0.872,730.3221366999787,1158538,completed
A11,83002,0.6272,0.8762,764.4134622999991,1158538,completed
A11,83003,0.6938,0.8856,746.2583538999897,1158538,completed
A12,83001,0.7656,0.8952,705.723994400003,1091998,completed
A12,83002,0.7704,0.8858,700.5861624999961,1091998,completed
A12,83003,0.7244,0.8944,700.6129618000123,1091998,completed
